Fecha Pedido,Categoría Tarjeta,País,Ventas,ID Cliente,Nombre Cliente
2019-01-01,Azul,Ecuador,13,GM-14440,Gary McGarr
2019-01-02,Azul,Ecuador,11,RD-19720,Roger Demir
2019-01-03,Azul,Ecuador,14,DK-12835,Damala Kotsonis
2019-01-04,Azul,Ecuador,13,JF-15295,Jason Fortune-
2019-01-05,Azul,Ecuador,10,ML-17755,Max Ludwig
2019-01-06,Azul,Ecuador,12,MZ-17335,Maria Zettner
2019-01-07,Azul,Ecuador,10,RD-19660,Robert Dilbeck
2019-01-08,Azul,Ecuador,9,MC-18130,Mike Caudle
2019-01-09,Azul,Ecuador,12,KD-16615,Ken Dana
2019-01-10,Azul,Ecuador,9,LC-16885,Lena Creighton
2019-01-11,Azul,Ecuador,9,KL-16645,Ken Lonsdale
2019-01-12,Azul,Ecuador,7,LS-17200,Luke Schmidt
2019-01-13,Azul,Ecuador,10,LC-17050,Liz Carlisle
2019-01-14,Azul,Ecuador,12,AG-10900,Arthur Gainer
2019-01-15,Azul,Ecuador,5,RB-19465,Rick Bensley
2019-01-16,Azul,Ecuador,7,CC-12610,Corey Catlett
2019-01-17,Azul,Ecuador,16,HF-14995,Herbert Flentye
2019-01-18,Azul,Ecuador,7,CP-12085,Cathy Prescott
2019-01-19,Azul,Ecuador,18,SP-20545,Sibella Parks
2019-01-20,Azul,Ecuador,15,KD-16495,Keith Dawkins
2019-01-21,Azul,Ecuador,8,SC-20380,Shahid Collister
2019-01-22,Azul,Ecuador,7,AH-10075,Adam Hart
2019-01-23,Azul,Ecuador,9,SC-20050,Sample Company A
2019-01-24,Azul,Ecuador,8,TB-21520,Tracy Blumstein
2019-01-25,Azul,Ecuador,14,TS-21205,Thomas Seio
2019-01-26,Azul,Ecuador,12,CT-11995,Carol Triggs
2019-01-27,Azul,Ecuador,12,MC-18100,Mick Crebagga
2019-01-28,Azul,Ecuador,11,SV-20815,Stuart Van
2019-01-29,Azul,Ecuador,6,TC-21145,Theresa Coyne
2019-01-30,Azul,Ecuador,9,JE-15745,Joel Eaton
2019-01-31,Azul,Ecuador,13,AH-10195,Alan Haines
2019-02-01,Azul,Ecuador,11,DH-13675,Duane Huffman
2019-02-02,Azul,Ecuador,21,PG-18820,Patrick Gardner
2019-02-03,Azul,Ecuador,15,MP-17470,Mark Packer
2019-02-04,Azul,Ecuador,14,AJ-10795,Anthony Johnson
2019-02-05,Azul,Ecuador,9,PF-19120,Peter Fuller
2019-02-06,Azul,Ecuador,10,MP-18175,Mike Pelletier
2019-02-07,Azul,Ecuador,13,RF-19345,Randy Ferguson
2019-02-08,Azul,Ecuador,11,AH-10690,Anna Hberlin
2019-02-09,Azul,Ecuador,14,EA-14035,Erin Ashbrook
2019-02-10,Azul,Ecuador,11,ON-18715,Odella Nelson
2019-02-11,Azul,Ecuador,16,JW-15220,Jane Waco
2019-02-12,Azul,Ecuador,11,TH-21100,Thea Hendricks
2019-02-13,Azul,Ecuador,14,JM-15865,John Murray
2019-02-14,Azul,Ecuador,10,PW-19030,Pauline Webber
2019-02-15,Azul,Ecuador,11,PW-19240,Pierre Wener
2019-02-16,Azul,Ecuador,7,TC-21295,Toby Carlisle
2019-02-17,Azul,Ecuador,11,SS-20875,Sung Shariari
2019-02-18,Azul,Ecuador,10,BP-11290,Beth Paige
2019-02-19,Azul,Ecuador,10,MC-17590,Matt Collister
2019-02-20,Azul,Ecuador,7,GM-14680,Greg Matthias
2019-02-21,Azul,Ecuador,13,HK-14890,Heather Kirkland
2019-02-22,Azul,Ecuador,12,BW-11065,Barry Weirich
2019-02-23,Azul,Ecuador,15,JB-16045,Julia Barnett
2019-02-24,Azul,Ecuador,11,DM-13015,Darrin Martin
2019-02-25,Azul,Ecuador,7,JR-15670,Jim Radford
2019-02-26,Azul,Ecuador,9,KF-16285,Karen Ferguson
2019-02-27,Azul,Ecuador,9,TB-21595,Troy Blackwell
2019-02-28,Azul,Ecuador,10,AC-10660,Anna Chung
2019-03-01,Azul,Ecuador,15,TB-21400,Tom Boeckenhauer
2019-03-02,Azul,Ecuador,13,SC-20230,Scot Coram
2019-03-03,Azul,Ecuador,20,MD-17860,Michael Dominguez
2019-03-04,Azul,Ecuador,14,CG-12520,Claire Gute
2019-03-05,Azul,Ecuador,13,PV-18985,Paul Van Hugh
2019-03-06,Azul,Ecuador,17,CK-12325,Christine Kargatis
2019-03-07,Azul,Ecuador,11,XP-21865,Xylona Preis
2019-03-08,Azul,Ecuador,15,TS-21505,Tony Sayre
2019-03-09,Azul,Ecuador,16,KB-16585,Ken Black
2019-03-10,Azul,Ecuador,11,AP-10720,Anne Pryor
2019-03-11,Azul,Ecuador,18,MR-17545,Mathew Reese
2019-03-12,Azul,Ecuador,14,DB-13210,Dean Braden
2019-03-13,Azul,Ecuador,13,DN-13690,Duane Noonan
2019-03-14,Azul,Ecuador,10,RM-19675,Robert Marley
